U,V,W,T_SONIC,CO2,H2O,SA_DIAG,GA_DIAG,T_CELL,T_CELL_IN,T_CELL_OUT,PRESS_CELL
-2.71246,5.02212,-0.395546,301.522,350.501,15.8381,4,8191,28.6018,30.8966,28.0282,96.8888
-2.51456,5.34275,-1.0793,301.47,350.388,15.842,5,8191,28.6058,30.9065,28.0307,96.8846
-2.3061,5.4046,-0.780068,301.414,350.331,15.8393,6,8191,28.5946,30.93,28.0107,96.8852
-2.17223,5.63075,-0.258565,301.405,350.409,15.8367,7,8191,28.6217,30.9263,28.0456,96.8917
-2.28459,5.56483,-0.37771,301.412,350.513,15.8314,8,8191,28.621,30.9226,28.0456,96.8925
-2.10861,5.42269,-0.56112,301.454,350.59,15.8346,9,8191,28.6028,30.9065,28.0269,96.8984
-2.33491,5.71008,-0.830849,301.415,350.525,15.8181,10,8191,28.6374,30.9548,28.0581,96.8931
-2.2279,5.44115,-0.967395,301.43,350.693,15.8272,1,8191,28.6309,30.9474,28.0518,96.9014
-2.43287,5.24147,-1.06736,301.431,350.51,15.8151,2,8191,28.6706,30.9362,28.1042,96.8876
-2.47791,5.2657,-0.650126,301.44,350.642,15.8143,3,8191,28.6352,30.9238,28.063,96.8992
-2.77089,4.94132,-0.993227,301.426,350.577,15.815,4,8191,28.6088,30.9461,28.0244,96.8919
-2.57494,4.8069,-0.79897,301.43,350.618,15.8036,5,8191,28.6392,30.9437,28.063,96.8984
-2.70705,4.94258,-0.727438,301.397,350.704,15.8019,6,8191,28.612,30.9325,28.0319,96.8882
-2.84253,4.9414,-0.528659,301.414,350.61,15.7985,7,8191,28.6661,30.9437,28.0967,96.8876
-2.74731,4.78728,-0.504807,301.408,350.715,15.792,8,8191,28.6352,30.9486,28.0568,96.8899
-2.53173,4.72934,-0.535942,301.375,350.655,15.7973,9,8191,28.6016,30.9201,28.0219,96.8906
-2.41392,5.04655,-0.451514,301.381,350.627,15.7938,10,8191,28.5929,30.9164,28.012,96.8864
-2.22296,5.08322,-0.4806,301.38,350.572,15.7859,1,8191,28.5921,30.9127,28.012,96.8864
-2.31748,4.90653,-0.484492,301.39,350.635,15.7813,2,8191,28.6061,30.9276,28.0257,96.8864
-2.34874,4.79851,-0.302542,301.395,350.751,15.7798,3,8191,28.5936,30.9449,28.0057,96.8882
-2.31376,4.9574,-0.372126,301.396,350.641,15.7782,4,8191,28.6217,30.9412,28.0419,96.8947
-1.87446,5.13474,-0.285564,301.43,350.516,15.7801,5,8191,28.625,30.9424,28.0456,96.8925
-1.80946,4.39131,-0.479968,301.425,350.588,15.7758,6,8191,28.6285,30.935,28.0518,96.8949
-2.4914,4.11104,-0.726143,301.44,350.538,15.775,7,8191,28.6367,30.9313,28.063,96.9033
-2.59976,4.03409,-1.35884,301.419,350.782,15.7876,8,8191,28.6058,30.9412,28.0219,96.8967
-2.468,4.61099,-1.19955,301.45,350.694,15.7828,9,8191,28.62,30.9424,28.0394,96.8967
-2.28223,4.35644,-1.25149,301.425,350.528,15.7881,10,8191,28.6359,30.9276,28.063,96.8931
-2.28316,4.62049,-1.0643,301.405,350.671,15.7861,1,8191,28.6484,30.94,28.0755,96.8978
-2.21282,4.82847,-0.968074,301.385,350.578,15.7828,2,8191,28.6108,30.9223,28.0329,96.8937
-2.17603,4.90771,-0.995011,301.385,350.67,15.7888,3,8191,28.5769,30.9214,27.9908,96.8943
-2.14162,4.9858,-1.00504,301.412,350.578,15.7901,4,8191,28.5948,30.9074,28.0167,96.8949
-2.17311,4.94449,-1.00722,301.454,350.627,15.788,5,8191,28.6242,30.9238,28.0493,96.9057
-2.0705,5.1684,-0.760669,301.478,350.608,15.785,6,8191,28.6235,30.9211,28.0491,96.901
-2.43871,5.28775,-0.971124,301.526,350.687,15.7842,7,8191,28.6235,30.93,28.0469,96.9004
-2.43932,5.09328,-1.14434,301.545,350.623,15.7821,8,8191,28.6444,30.9003,28.0805,96.8961
-2.40305,4.94278,-1.26947,301.545,350.58,15.7978,9,8191,28.6061,30.8928,28.0344,96.8979
-2.30663,4.95925,-1.29682,301.533,350.507,15.8064,10,8191,28.6058,30.9114,28.0294,96.8984
-2.30357,5.01033,-1.35754,301.52,350.436,15.8118,1,8191,28.629,30.9276,28.0543,96.8888
-2.40332,4.88021,-1.25045,301.515,350.489,15.8148,2,8191,28.616,30.9276,28.0381,96.8955
-2.32935,5.04317,-1.37842,301.52,350.52,15.8236,3,8191,28.637,30.9176,28.0668,96.8931
-2.5223,4.9139,-1.3865,301.468,350.426,15.8222,4,8191,28.6569,30.9226,28.0905,96.8925
-2.87853,4.5566,-1.68424,301.397,350.397,15.8267,5,8191,28.6215,30.93,28.0444,96.8996
-2.69513,4.55506,-1.69736,301.408,350.463,15.8261,6,8191,28.6202,30.9387,28.0406,96.9002
-2.70466,4.6025,-1.86036,301.437,350.454,15.8285,7,8191,28.622,30.9127,28.0493,96.8979
-2.55381,4.50827,-1.69056,301.407,350.465,15.8263,8,8191,28.6126,30.9052,28.0394,96.8919
-2.49654,4.38802,-1.89806,301.458,350.657,15.8282,9,8191,28.6123,30.8941,28.0419,96.8931
-2.33511,4.45995,-1.79694,301.513,350.571,15.822,10,8191,28.6536,30.9313,28.0842,96.8872
-2.41451,4.48099,-1.65262,301.495,350.672,15.8147,1,8191,28.6155,30.9201,28.0394,96.8947
